NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization
ORTINLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,19.8,9.61,27.92,32.07,30.6,16.09
LGBBROSLTD,Auto Ancillaries,1443,432.77,738.51,692.31,792.48,4529.89
KKCL,Textiles - Products,728.9,233.46,367.28,401.94,558.93,4491.86
BOMDYEING,Textiles - Manmade,211.25,1681.32,2429.78,1442.86,1216.68,4363.03
PAKKA,Paper,249.4,39.08,90.97,128.64,150.01,976.85
SUBROS,Auto Ancillaries,668.5,122.2,355.4,413.17,574.53,4361.01
PAR,Pharmaceuticals - Indian - Bulk Drugs,245.87,24.55,42.67,48.11,70.5,302.54
PARSVNATH,Construction,13.33,1107.39,2802.34,3982.7,4028.1,580.11
PASHUPATI,Textiles - Cotton/Blended,480,95.02,102.74,97.32,152.79,733.63
PASUPTAC,Textiles - Manmade,37.98,2.28,1.3,85.59,160.33,338.52
SHARDACROP,Pesticides / Agrochemicals - Indian,476.5,186.91,172.45,400.76,602.13,4299.04
PATELENG,Construction,65.92,1432.27,2067.76,3142.84,3447.31,5566.13
HIKAL,Pharmaceuticals - Indian - Bulk Drugs,346.2,16.69,215.05,305.35,543.97,4268.67
FCL,Chemicals,385,128.1,135.14,142.8,177.67,4264.47
PEARLPOLY,Trading,32.35,47.86,55.65,65.59,90.49,54.44
PENINLAND,Construction,70.58,830.07,1597.11,2314.3,1338.84,2178.8
ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.65,297.01,531,752.46,979.02,4234.25
IMFA,Mining / Minerals / Metals,755.1,1089.46,1398.56,1684.38,2360.79,4074.05
TIDEWATER,Chemicals,2329.8,282.17,434.11,576.37,845.45,4059.46
PLASTIBLEN,Chemicals,269.05,99.77,180.63,227.64,233.92,699.24
RAMKY,Construction,585.8,2922.29,3366.48,4114.54,4515.63,4053.6
BANARISUG,Sugar,3220,527.6,536.73,883.87,1308.9,4037.78
KDDL,Miscellaneous,3190.8,15.13,118.83,73.45,70.69,4000.35
LUMAXTECH,Auto Ancillaries,585,267.18,386.35,399.75,452.3,3987.25
ISMTLTD,Steel - Medium / Small,131.65,135.3,230.03,329.76,62.54,3956.1
HGS,Computers - Software - Medium / Small,850.25,541.39,1851.43,2057.53,2209.47,3955.39
PRAENG,Construction,31.33,26.04,35.17,65.84,118.79,219.13
MAHLOG,Miscellaneous,543.95,321.78,570.16,605.69,481.19,3919.18
PRAKASHSTL,Steel - Medium / Small,9.66,71.75,72,53.61,111.07,169.06
SKIPPER,Engineering,357.25,275.77,539.22,663.97,855.74,3876.8
SOTL,Petrochemicals,559.95,406.51,686.52,894.61,1115.08,3869.29
PRECOT,Textiles - Cotton/Blended,530.9,68.33,164.34,248.06,409.73,637.08
BAJAJCON,Personal Care - Indian,269.2,324.99,732.96,1061.52,1620.38,3844.01
PREMIERPOL,Plastics Products,209.5,17.23,34.4,34.91,20.32,438.86
HONDAPOWER,Electric Equipment,3787.05,233.07,331.68,374.25,506.94,3840.07
NUCLEUS,Computers - Software - Medium / Small,1429.9,274.31,448.89,566.27,712.65,3828.34
DATAMATICS,Computers - Software - Medium / Small,646.3,424.88,583.25,658.04,795.65,3815.2
PRIMESECU,Finance & Investments,209.65,6.69,58.67,61.59,54.67,703.33
STYRENIX,Petrochemicals,2145.4,778.51,1232.52,1248.3,1212.5,3773.75
CIGNITITEC,Computers - Software - Medium / Small,1367.55,286.05,507.31,657.74,549.05,3733.45
PROLIFE,Dyes And Pigments,199.5,15.58,29.45,32.9,32,81.68
GIPCL,Power Generation And Supply,241.2,657.61,941.22,1237.67,1542.67,3648.14
PFS,Finance & Investments,46.97,7169.5,11708.34,10629.64,7816.69,3016.82
PTL,Miscellaneous,46.38,103.3,199.71,289.74,395.19,614
VSTTILLERS,Automobiles - Tractors,4192.9,149.92,315.04,279.81,407.86,3622.47
PULZ,Electronics - Consumer,108,3.8,4.8,3.33,4.51,117.76
THYROCARE,Healthcare,680.35,278.58,483.23,647.23,809.88,3602.63
LAOPALA,Glass & Glass Products,324.55,205.73,284.12,363.73,476.37,3602.52
PVP,Construction,24.39,305.26,329.01,305.57,436.7,635.16
THEJO,Engineering,3289.95,52.82,106.71,135.41,137.04,3567.04
DELTACORP,Recreation / Amusement Parks,132.15,93.2,388.9,511.42,804.12,3538.59
NAVNETEDUL,Printing & Stationery,155.55,119.8,601.84,678.1,988.84,3518.78
PGIL,Textiles - Products,805.8,412.01,443.93,456.03,413.1,3513.08
MAITHANALL,Mining / Minerals / Metals,1186.25,635.37,702.15,1282.93,1577.75,3453.36
SWARAJENG,Engines,2836.6,300.7,407.26,509.44,660.67,3445.7
MPSLTD,Computers - Software - Medium / Small,1999.25,330.58,471.43,598.38,728.89,3419.87
RAJTV,Entertainment / Electronic Media Software,97.55,13.07,30.2,52.14,45.16,506.41
SBCL,Mining / Minerals / Metals,591.85,57.97,99.41,95.51,115.48,3409.3
RAJSREESUG,Sugar,76.5,129.02,204.01,415.95,591.29,253.48
RAJVIR,Textiles - Jute - Yarn / Products,6.92,65.5,115.36,70.7,98.33,2.76
NRBBEARING,Bearings,351.45,86.81,245.82,318.8,502.43,3406.34
FIEMIND,Auto Ancillaries,1294.2,200,476.21,532.16,498.2,3406.33
SOMANYCERA,Ceramics - Tiles / Sanitaryware,827.2,103.53,504.82,415.81,325.8,3391.81
PRAKASH,Steel - Medium / Small,188.65,548.92,714.16,877.24,1061.03,3378.36
DALMIASUG,Sugar,414.2,21.38,414.41,674.69,507.95,3352.95
RBL,Auto Ancillaries,998.4,13.9,83.06,129.18,240.38,771.76
KOLTEPATIL,Construction,436.95,292.96,748.86,1040.88,1199.43,3321.01
STYLAMIND,Miscellaneous,1920,131.19,245.8,239.38,154.92,3254.02
CARERATING,Miscellaneous,1087.8,201.71,346.7,560.47,878.06,3250.04
RTNPOWER,Power Generation And Supply,17.89,3114.66,4442.19,5205.29,4867.86,9607.12
BEPL,Petrochemicals,129.9,628.03,803.14,984.13,1102.94,3232.66
POLYPLEX,Packaging,1028.1,635.23,1471.99,1823.32,2818.36,3227.46
RHFL,Finance - Housing,3.5,3525.69,11311.68,6609.66,3530.68,169.77
RPOWER,Power Generation And Supply,28.89,10281.5,18294.77,26393.19,32306.47,11605.06
KCP,Cement - South India,243.55,72.43,319.05,289.62,472.23,3139.9
RGL,Diamond Cutting / Jewellery,102.85,205.04,512.03,116.79,256.87,988.69
VADILALIND,Food - Processing - Indian,4366.3,126.05,191.87,195.8,311.03,3139.36
REPRO,Printing & Stationery,626.7,1.47,56.2,99.4,196.07,896
WENDT,Abrasives And Grinding Wheels,15586.75,68.93,70.72,112.34,158.69,3117.35
AUTOAXLES,Auto Ancillaries,2047.9,298.55,448.93,423.91,601.03,3094.37
SAKSOFT,Computers - Software - Medium / Small,285.4,241.93,347.86,397.92,461.61,3025.54
ROHLTD,Hotels,364.55,112.81,141.11,199.07,253.43,999.79
RPPINFRA,Construction,135.9,68.88,171.69,174.13,259.97,515.6
RUBYMILLS,Textiles - Composite,223.5,223.38,251.79,304.23,377.24,747.39
RUCHINFRA,Miscellaneous,12.5,63.3,127.17,183.48,353.64,281.12
RUCHIRA,Paper,138.25,45.52,59.12,52.51,104.77,412.64
RAJRATAN,Steel - Medium / Small,587.5,36,54.12,48.7,106.98,2982.78
SCHAND,Printing & Stationery,230.2,262.82,382.23,373.64,258.11,810.7
VINDHYATEL,Construction,2495,561.65,780.58,274.89,253.2,2956.62
SALSTEEL,Steel - Sponge Iron,21.3,43.33,84.32,92.71,108.42,180.98
SADBHAV,Construction,28.22,3599.86,5395.95,6586.79,4726.73,484.17
SADBHIN,Construction,5.8,4104.56,5117.32,5693.84,5051.18,204.28
NILKAMAL,Plastics Products,1976,36.1,324.6,409.55,736.59,2948.19
SAGARDEEP,Mining / Minerals / Metals,27.04,1.76,3.5,9.77,21.16,46.1
PRECWIRE,Mining / Minerals / Metals,163.7,85.63,174.49,264.09,318.93,2924.63
SAKHTISUG,Sugar,39.82,439.7,516.76,518.31,713.07,473.3
SAMBHAAV,Entertainment / Electronic Media Software,4.63,19.99,30.01,22.47,16.12,88.49
HPL,Electric Equipment,450.75,174.19,245.12,224.77,202.63,2898.34
MAYURUNIQ,Leather / Leather Products,657.7,121.22,159.39,260.1,394.36,2890.75
EIHAHOTELS,Hotels,930.1,136.07,123.42,206.19,349.47,2834.04
QUICKHEAL,Computers - Software - Medium / Small,514.15,122.26,272.4,406.57,460.87,2752.97
HUHTAMAKI,Packaging,363.45,120.24,475.31,547.48,808,2744.84
VENKEYS,Miscellaneous,1942.4,50.82,232.55,499.12,669.38,2736.33
SANGINITA,Chemicals,18.44,2.96,8.76,10.15,4.96,47.77
RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1652.2,124.25,213.53,238.96,196.3,2732.59
TASTYBITE,Food - Processing - Indian,10648.6,95.67,64.31,100.25,101.22,2732.42
UEL,Electric Equipment,256.45,131.67,175.94,123.23,200.26,2700.45
SARLAPOLY,Textiles - Spinning - Synthetic / Blended,108.05,90.23,126.17,159.56,184.42,902.16
SMLT,Mining / Minerals / Metals,197.75,73.6,86.15,81.11,84.98,270.7
FOSECOIND,Chemicals,4199.95,121.59,180.81,282.92,344.83,2683.76
JASH,Engineering,2141.65,54.08,94.29,70.34,77.03,2679.74
SASKEN,Computers - Software - Medium / Small,1772.05,216.69,431.08,515.46,971.8,2671.87
MANINDS,Steel - Medium / Small,411.3,216.37,347.9,480.06,610.28,2662.58
ADFFOODS,Food - Processing - Indian,242.2,78.11,131.12,165.9,188.34,2660.89
SHK,Chemicals,192,246.91,572.49,516.5,683.16,2657.66
SELMC,Textiles - Cotton/Blended,60.98,135.32,520.96,1464.26,1326.82,202.06
V2RETAIL,Textiles - Products,758.95,177.01,225.68,131.3,115.06,2625.16
ACCELYA,Computers - Software - Medium / Small,1744.9,296.52,442.53,615.88,828.26,2605.14
EVEREADY,Dry Cells,349.95,255.14,686.44,780.73,893.84,2543.45
VSSL,Steel - Medium / Small,312,145.25,303.83,204.35,206.38,2541.53
FMGOETZE,Auto Ancillaries,451.2,207.71,418.15,500.68,677.36,2510.04
JUBLINDS,Chemicals,1653.1,59.28,142.34,235.34,272.26,2490.74
SHEMAROO,Entertainment / Electronic Media Software,146.9,19.61,14.3,171.18,17.97,400.56
SHIVATEX,Textiles - Cotton/Blended,171.2,63.11,182.8,194.18,320.64,221.93
ORIENTHOT,Hotels,136.7,110.29,112.79,142.28,228.29,2441.45
SHIVAMAUTO,Auto Ancillaries,40.54,151.77,264.96,321.25,141.25,495.48
DOLATALGO,Finance & Investments,137.85,104.04,388.14,473.09,461.04,2426.16
SRPL,Solvent Extraction,1.18,16.05,22.28,16.22,33.03,50.55
SHREYANIND,Paper,274.35,148.95,147.47,186.72,234.9,379.16
PANAMAPET,Petrochemicals,396.95,251.79,441.63,355.6,378.75,2401.29
SHYAMCENT,Mining / Minerals / Metals,17.25,59.23,67.75,105.68,112.3,366.01
MANGLMCEM,Cement - North India,871.95,162.83,368.2,419.26,500.75,2397.64
SIDDHIKA,Miscellaneous,295,11.64,14.15,15.53,15.53,91.14
SIGIND,Plastics Products,89.5,92.12,95.26,179.26,274.26,263.46
SILINV,Finance & Investments,555,45.89,52.19,44.2,21.83,588.29
SILVERTUC,Computers - Software - Medium / Small,733.65,0.85,7.66,1.78,8.54,930.33
SIMBHALS,Sugar,33.1,47.76,107.52,71.63,272.07,136.61
SINCLAIR,Hotels,117,57.99,70.58,91.3,118.29,599.75
PENIND,Steel - Medium / Small,174.65,289.13,293.14,137.58,112.92,2356.81
NSIL,Finance & Investments,4575.1,155.03,224.19,271.09,331.31,2351.6
SIYSIL,Textiles - Processing,517,240.02,718.89,700.45,855.79,2345.64
SKMEGGPROD,Food - Processing - Indian,261.55,72.67,76.64,86.2,138.36,688.66
AXISCADES,Computers - Software - Medium / Small,557,136.46,311.74,290.15,318.91,2336.51
SNOWMAN,Miscellaneous,77.19,97.09,190.15,242.13,117.99,1289.75
GOCLCORP,Chemicals,470.45,79.18,49.15,66.89,94.14,2332.11
MUKANDLTD,Steel - Large,161.25,418.4,849.46,1779,2152.8,2330.01
SOMATEX,Trading,33.5,264.45,256.89,257.59,358,110.66
TCPLPACK,Packaging,2537.4,93.92,179.71,189.34,156.15,2309.04
SOMICONVEY,Miscellaneous,191.9,15.23,23.13,29.76,30.87,226.05
ANDHRAPAP,Paper,579,573.38,809.58,1260.11,1570.5,2302.71
SONAMLTD,Miscellaneous,39.61,14.28,6.12,14.58,18.09,158.57
SOUTHBANK,Banks - Private Sector,27.02,4659.09,10966.88,13251.72,15739.51,7068.57
SPLIL,Trading,61.96,7.54,63.91,88.94,82.61,179.68
SRHHYPOLTD,Chemicals,554.95,308.55,449.9,441.87,492.03,952.55
SREEL,Trading,288.45,73.34,112.86,168.25,189.63,667.92
HAVISHA,Hotels,2.52,1.45,14.67,13.52,14.78,76.44
RUPA,Textiles - Products,282.45,151.29,415.27,361.59,609.81,2246.18
AMRUTANJAN,Pharmaceuticals - Indian - Formulations,764.15,61.48,166.12,203.47,241.16,2209.18
STARPAPER,Paper,255.8,73.52,104.37,160.11,217.97,399.31
STARTECK,Finance & Investments,290,117.02,83.7,81.76,134.55,287.4
STEELCITY,Finance & Investments,93,4.94,6.75,31.96,47.25,140.51
STEELXIND,Steel - Medium / Small,14.6,41.33,167.95,273.9,333.02,1732.48
POKARNA,Miscellaneous,712.2,97.06,96.06,183.51,382.15,2208.1
STEL,Finance & Investments,464.55,40.28,51.45,48.86,41.38,857.57
XPROINDIA,Plastics Products,997.85,96.65,174.65,271.36,304.22,2198.72
RAMCOIND,Cement Products,253.25,13.51,119.25,291.1,458.76,2198.45
SGL,Textiles - Processing,17.99,22.41,33.04,37.05,94.32,49.38
DIAMONDYD,Food - Processing - Indian,919.55,67.36,132.82,153.77,159.78,2195.29
INDRAMEDCO,Healthcare,238.5,295.47,346.85,421.96,490.78,2186.35
VIDHIING,Dyes And Pigments,435.4,34.52,65.38,114.83,122.22,2174.61
OMAXE,Construction,118.1,2223.59,3429.07,3826.63,4356.43,2160.07
INDIANHUME,Construction,407.8,279.24,384.41,298.9,467.19,2148.38
SUMEETINDS,Textiles - Manmade,2.14,146.22,246.41,109.23,193.5,22.18
CANTABIL,Textiles - Products,256.7,157.09,265.11,277.61,284.12,2146.99
CENTUM,Electronics - Components,1649,315.03,454.34,409.04,317.93,2126.7
SESHAPAPER,Paper,337.2,634.12,645.75,1061.33,1383.82,2126.65
SUMMITSEC,Finance & Investments,1936.05,120.53,198.6,225.5,299.6,2110.31
SUNDARAM,Printing & Stationery,3.08,19.46,30.27,35.92,107.89,145.96
TAJGVK,Hotels,335.2,221.26,297.39,406.15,522.14,2101.79
COSMOFIRST,Packaging,796.35,235.23,687.26,786.15,844.19,2090.38
RIIL,Miscellaneous,1367.3,36.61,34.42,56.44,112.3,2064.6
ALICON,Castings & Forgings,1247.65,55.84,106.48,90.36,47.53,2028.92
INSECTICID,Pesticides / Agrochemicals - Indian,682.15,112.34,433.49,416.43,433.2,2019.02
SURANASOL,Electric Equipment,38.7,4.71,24.89,27.93,63,190.42
SURANAT&P,Power Generation And Supply,25.57,46,59.55,99.1,20.79,347.15
SURYALAXMI,Textiles - Cotton/Blended,81.4,135.53,257.82,351.89,423.93,153.08
SUTLEJTEX,Textiles - Cotton/Blended,65,277.69,357.68,590.49,578.83,1064.89
GTPL,Entertainment / Electronic Media Software,178.1,184.51,507.09,648.07,597.34,2002.97
SUZLON,Electric Equipment,52.79,1485.36,938.03,1194.06,1708.42,71343.99
WHEELS,Auto Ancillaries,815.8,251.17,235.94,245.6,413.51,1993.26
EXPLEOSOL,Computers - Software - Medium / Small,1258.4,33.36,109.71,171.94,292.54,1952.99
TBZ,Diamond Cutting / Jewellery,122.85,49.47,425.93,475.66,627.99,819.77
TALBROAUTO,Auto Ancillaries,316.25,47.1,131.36,119.66,184.23,1952.17
TNPETRO,Chemicals,96.55,199.49,304.39,398.31,539.32,868.66
TNTELE,Cables - Telephone,10.37,16.09,31.53,48.13,71.77,47.37
TTL,Textiles - Products,114.3,166.85,253.17,340.26,440.38,245.74
THEMISMED,Pharmaceuticals - Indian - Bulk Drugs & Formln,209,6.14,39.69,49.87,73.62,1923.64
ADORWELD,Electrodes - Welding Equipment,1405,21.65,83.7,82.01,68.41,1910.8
TAKE,Miscellaneous,21.05,17.76,204.76,220.89,271.55,311.42
TNPL,Paper,274.05,1732.91,1498.93,2974.78,2529.74,1896.72
DCMSRIND,Sugar,218,99.92,234.58,256.92,266.09,1896.41
PIXTRANS,Miscellaneous,1378.5,184.48,242.5,260.15,329.37,1878.88
SPAL,Textiles - Products,746.05,183.2,251.22,208.01,289.06,1872.03
LIKHITHA,Construction,470.65,23.69,38.71,27.41,24.78,1856.7
INDNIPPON,Auto Ancillaries,819,74.08,120.34,150.24,225.13,1852.68
PRECAM,Auto Ancillaries,191.9,139.84,216.85,218.22,315.83,1822.79
ALLSEC,Computers - Software - Medium / Small,1194.4,179.43,298.21,357.26,445.32,1820.25
HERCULES,Engineering,561.3,123.12,146.33,168.77,172.71,1796.16
INDOTECH,Electric Equipment,1683.2,30.46,22.06,41.32,21.69,1787.56
MADRASFERT,Fertilizers,110.8,484.85,996.98,806.02,916.55,1784.99
PUNJABCHEM,Pesticides / Agrochemicals - Indian,1433.4,23,47.31,131.05,346.26,1757.33
NELCO,Telecommunications - Equipment,767.65,94.36,124.54,114.54,153.75,1751.8
DLINKINDIA,Trading,485.2,150.34,248.33,277.63,274.01,1722.69
TGBHOTELS,Hotels,17.3,21.12,18.8,113.04,183.47,50.67
GOLDIAM,Diamond Cutting / Jewellery,161.2,146.37,248.47,315.99,398.53,1721.56
KIRIINDUS,Dyes And Pigments,331.95,61.46,67.31,92.06,242.3,1720.63
BYKE,Hotels,81.2,48.05,63.37,63.22,87.86,380.81
NAVKARCORP,Miscellaneous,110.95,501.53,488.56,316.18,66.55,1670
SHANKARA,Trading,686.6,80.94,225.05,351.7,582.5,1664.94
GPTINFRA,Construction,282.95,220.99,289.66,359.87,484.6,1645.99
SHREDIGCEM,Cement - North India,111.2,124.23,269.23,337.07,319,1639.16
AMNPLST,Chemicals,294.4,10.86,47.69,53.2,71.65,1619.77
TIJARIA,Plastics Products,17.4,1.24,1.97,24.86,46.89,49.79
ASAL,Auto Ancillaries,1019.2,164.66,190.93,164.93,159.15,1616.46
ANDHRSUGAR,Chlor Alkali / Soda Ash,116.4,160.95,463.44,606.26,774.35,1577.64
MANGCHEFER,Fertilizers,131.5,32.45,1459.89,1126.53,1811.82,1558.53
KOKUYOCMLN,Printing & Stationery,155.35,32.7,142.65,123.9,36.35,1558.22
BUTTERFLY,Domestic Appliances,868,94.01,293.89,313.91,486.31,1551.97
TOKYOPLAST,Plastics Products,118.35,2.66,6.13,7.81,18.35,112.43
IGARASHI,Electric Equipment,490,31.2,114.23,184.16,292.62,1542.26
TOUCHWOOD,Miscellaneous,147.88,3.07,4.5,3.76,3.28,163.86
TPLPLASTEH,Packaging,89,26.01,71.5,67.54,94.46,694.21
GMBREW,Breweries & Distilleries,657,165.2,274.56,367.21,502.86,1501.07
EXCELINDUS,Pesticides / Agrochemicals - Indian,1188.85,170.19,257.96,415.11,443.83,1494.45
TRIDENT,Textiles - Cotton/Blended,38.64,849.78,2077.44,2902.72,3526.08,19691.21
TRIGYN,Computers - Software - Medium / Small,138.85,96.76,159.08,153.51,249.31,427.44
SAURASHCEM,Cement - North India,133.8,18.05,152.54,154.7,300.68,1484.98
ACLGATI,Trading,112.95,107.34,211.38,373.97,447.82,1471.25
DSSL,Computers - Software - Medium / Small,1154.6,27.22,37.79,26.09,27.42,1467.83
DHAMPURSUG,Sugar,223.8,41.07,1115.36,1492.51,1379.2,1463.36
EKC,Packaging,128.9,267.49,398.29,638.23,785.77,1446.34
UCAL,Auto Ancillaries,172.4,45.19,103.46,219.5,442.45,381.17
UGARSUGAR,Sugar,83.81,156.11,116.83,107.33,78.8,942.86
MATRIMONY,Miscellaneous,649.5,162.09,267.92,339.86,340.28,1445.84
NDTV,Entertainment / Electronic Media Software,221.95,19.89,65.59,126.67,54.73,1431.04
UMANGDAIRY,Food - Processing - Indian,117.35,10.15,15.05,21.88,23.58,258.21
HIMATSEIDE,Textiles - Products,145.05,538.57,1181.52,447.08,457.99,1428.21
XCHANGING,Computers - Software - Medium / Small,126.85,65.04,171.82,256.63,316.13,1413.07
KAMDHENU,Steel - Medium / Small,521.5,192.98,216.91,233.78,257.92,1404.69
UNITEDTEA,Tea,397.55,18.32,22.31,30.95,51.17,198.62
NIITLTD,Computers - Education,103.5,221.17,414.41,410.66,434.87,1400.18
CONTROLPR,Computers - Hardware,868,74.96,102.67,131.84,131.7,1388.31
IMPAL,Auto Ancillaries,1097.5,50.13,140.83,165.83,233.85,1369.68
KUANTUM,Paper,156.8,452.18,145.89,135.7,113.64,1368.28
UMESLTD,Computers - Education,5.4,0.94,1.41,1.8,0.23,14.26
TVTODAY,Entertainment / Electronic Media Software,229.05,216.91,551.01,720.88,801.85,1366.71
WALCHANNAG,Engineering,244.8,109.23,219.89,396.43,406.82,1356.39
HUBTOWN,Construction,169,111.18,63.09,587.97,1016.62,1350.92
UTTAMSUGAR,Sugar,349.2,306.25,368.04,465.57,654.61,1331.83
STEELCAS,Castings & Forgings,650.75,83.95,137.48,183.15,221.97,1317.15
VAISHALI,Trading,158.26,1.94,6.99,1.23,0.96,169.67
VARDHACRLC,Textiles - Manmade,55.74,22.98,60.31,85.14,196.38,447.94
VARDMNPOLY,Textiles - Cotton/Blended,10.03,111.58,147.44,252.61,467.64,273.73
DYCL,Cables - Power,586.45,52.26,94.98,48.98,26.84,1291
SATIA,Paper,128.35,227.97,107.94,164.73,135.5,1283.5
APTECHT,Computers - Education,220.8,108.98,130.96,156.53,182.78,1280.49
VASCONEQ,Construction,73.21,45.75,150.87,205.59,331.52,1638.7
VASWANI,Steel - Sponge Iron,35,49.44,85.71,95.87,132.19,105
VENUSREM,Pharmaceuticals - Indian - Formulations,363,101.97,303.63,358.45,504.27,485.24
KECL,Electric Equipment,190.75,113.95,255.5,341.94,304.09,1266.87
VETO,Electric Equipment,128,25.06,46.76,26.85,54.06,244.68
VHLTD,Hotels,115.65,12.95,9.69,36.34,51.4,730.42
MONTECARLO,Textiles - Products,608,50,154.31,282.54,361.04,1260.52
LINCOLN,Pharmaceuticals - Indian - Formulations,626.8,80.07,208.9,264.08,303.48,1255.46
VIKASECO,Diversified - Medium / Small,3.91,188.22,226.55,207.47,145.69,691.57
JAYBARMARU,Auto Ancillaries,109.5,161.65,290.21,209.11,215.04,1185.35
VINYLINDIA,Trading,414,31.77,93.55,69.69,97.21,759.17
VIPCLOTHNG,Textiles - Products,40.35,30.88,50.18,41.54,81.09,333.29
VIPULLTD,Construction,47.29,334.62,711.87,550.74,282.73,567.41
VISESHINFO,Computers - Software - Medium / Small,0.39,2.21,1.44,3.15,4.36,147.21
SANDESH,Entertainment / Electronic Media Software,1550.3,270.52,230.83,345.55,555.71,1173.59
VISHWARAJ,Sugar,16.96,56.87,125.99,72.4,119.58,318.46
IDEA,Telecommunications - Service Provider,17.79,44023.7,54083.6,48576.3,63805.3,120756.5
ENIL,Entertainment / Electronic Media Software,244.8,227.92,355.36,526.05,716.12,1166.97
WIPL,Miscellaneous,164.01,10.23,23.22,31.95,50.65,139.21
HEUBACHIND,Dyes And Pigments,479.45,115.4,241.34,220.37,975.11,1106.65
WANBURY,Pharmaceuticals - Indian - Bulk Drugs & Formln,158.95,39.03,87.81,142.48,227.93,520.49
WEWIN,Computers - Software - Medium / Small,77.52,1.53,6.95,7.51,8.18,78.77
WEALTH,Finance & Investments,798.75,56.04,54.51,77.35,73.71,851.07
WEIZMANIND,Textiles - Processing,134.8,24.04,20.17,51.99,59.86,213.79
INFOBEAN,Computers - Software - Medium / Small,452.4,188.4,217.76,237.6,252.75,1102.44
SELAN,Oil Drilling / Allied Services,724.25,63.94,122.98,248.9,357.11,1100.83
GANESHBE,Miscellaneous,151.55,64.05,122.53,175.29,239.92,1091
MAGADSUGAR,Sugar,771,116.8,135.82,147.95,223.13,1086.45
PDMJEPAPER,Paper,114.2,81.21,209.22,214.35,285.03,1084.32
NCLIND,Cement - South India,239.65,192.9,321.68,257.58,282.68,1084
ADSL,Computers - Software - Medium / Small,194.15,107.25,154.54,206.39,251.78,1075.73
BLISSGVS,Pharmaceuticals - Indian - Formulations,102.45,128.47,172.04,167.41,459.91,1073.08
HEXATRADEX,Trading,192.35,51.57,55.06,52.81,190.98,1062.74
EMKAYTOOLS,Engineering,995,79.35,105.66,132.8,146.82,1061.79
VIMTALABS,Miscellaneous,478.45,42.79,57.71,89.75,64.97,1060.77
ZEELEARN,Computers - Education,7.74,147.74,272.44,463.6,599.44,252.4
ZEEMEDIA,Entertainment / Electronic Media Software,14.75,256.35,441.87,405.49,419.61,922.49
VLSFINANCE,Finance & Investments,303.35,312.26,367.6,320.38,260.04,1055.56
ZENITHSTL,Steel - Medium / Small,12.73,24.65,65.19,95.16,62.5,181.13
POCL,Mining / Minerals / Metals,831.05,93.87,96.71,86.04,94.86,1046.41
ZUARI,Fertilizers,227.35,646.76,4652.01,4370.69,4957.26,956.17
KELLTONTEC,Computers - Software - Medium / Small,107.2,18.58,159.53,242.96,252.42,1044.16
ELECTHERM,Steel - Medium / Small,794.8,511.32,863.6,1240.69,1364.79,1012.8
WINDMACHIN,Engineering,154.5,50.68,105.87,145.54,114.85,1003.21
